<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>
ГАЗПРОМ ао	W	28.09.2015	0	131,5	165750280		Распадская	W	28.09.2015	0	36,15	2951460		НЛМК ао	W	28.09.2015	0	69,9	15181720
ГАЗПРОМ ао	W	05.10.2015	0	143,81	226873150		Распадская	W	05.10.2015	0	37,46	3344870		НЛМК ао	W	05.10.2015	0	72,7	15866720
ГАЗПРОМ ао	W	12.10.2015	0	141	138221160		Распадская	W	12.10.2015	0	37,4	8378670		НЛМК ао	W	12.10.2015	0	72,8	12381550
ГАЗПРОМ ао	W	19.10.2015	0	138,94	144459670		Распадская	W	19.10.2015	0	37,09	3994610		НЛМК ао	W	19.10.2015	0	73,02	10214040
ГАЗПРОМ ао	W	26.10.2015	0	135,75	156815340		Распадская	W	26.10.2015	0	37,74	3544330		НЛМК ао	W	26.10.2015	0	78,2	18631790
ГАЗПРОМ ао	W	02.11.2015	0	137,75	133170130		Распадская	W	02.11.2015	0	37,07	3171340		НЛМК ао	W	02.11.2015	0	75,24	16776750
ГАЗПРОМ ао	W	09.11.2015	0	136	162786810		Распадская	W	09.11.2015	0	35,8	2743330		НЛМК ао	W	09.11.2015	0	71,08	18615700
ГАЗПРОМ ао	W	16.11.2015	0	148,05	241452250		Распадская	W	16.11.2015	0	36,07	4204210		НЛМК ао	W	16.11.2015	0	71,95	19508960
ГАЗПРОМ ао	W	23.11.2015	0	140,65	207964520		Распадская	W	23.11.2015	0	33,73	7498430		НЛМК ао	W	23.11.2015	0	70,88	17227350
ГАЗПРОМ ао	W	30.11.2015	0	137,7	172412620		Распадская	W	30.11.2015	0	33,39	4204800		НЛМК ао	W	30.11.2015	0	67,77	15573650
ГАЗПРОМ ао	W	07.12.2015	0	133,8	152068410		Распадская	W	07.12.2015	0	32,3	6812750		НЛМК ао	W	07.12.2015	0	64,89	29272350
ГАЗПРОМ ао	W	14.12.2015	0	132,25	170207410		Распадская	W	14.12.2015	0	30,44	9550940		НЛМК ао	W	14.12.2015	0	59,45	33091630
ГАЗПРОМ ао	W	21.12.2015	0	134,48	126871390		Распадская	W	21.12.2015	0	30,76	9096030		НЛМК ао	W	21.12.2015	0	61,83	26537960
ГАЗПРОМ ао	W	28.12.2015	0	136,09	50898690		Распадская	W	28.12.2015	0	29,97	4172450		НЛМК ао	W	28.12.2015	0	62,6	10829160
ГАЗПРОМ ао	W	04.01.2016	0	135,94	37088500		Распадская	W	04.01.2016	0	29,67	3027180		НЛМК ао	W	04.01.2016	0	60,75	10710290
ГАЗПРОМ ао	W	11.01.2016	0	125,1	210608040		Распадская	W	11.01.2016	0	25,47	15417790		НЛМК ао	W	11.01.2016	0	57,5	25756840
ГАЗПРОМ ао	W	18.01.2016	0	132,4	199660430		Распадская	W	18.01.2016	0	26,11	12132150		НЛМК ао	W	18.01.2016	0	62	25322510
ГАЗПРОМ ао	W	25.01.2016	0	136,6	167123430		Распадская	W	25.01.2016	0	25,16	15362720		НЛМК ао	W	25.01.2016	0	65,5	35582530
ГАЗПРОМ ао	W	01.02.2016	0	134,43	161530780		Распадская	W	01.02.2016	0	27,1	12054180		НЛМК ао	W	01.02.2016	0	71	28874290
ГАЗПРОМ ао	W	08.02.2016	0	131,3	159321530		Распадская	W	08.02.2016	0	24,9	21358380		НЛМК ао	W	08.02.2016	0	72,96	25723840
