<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>
ГАЗПРОМ ао	W	22.01.2018	0	147,19	160624980		Распадская	W	22.01.2018	0	101,28	14944120		НЛМК ао	W	22.01.2018	0	153,93	18435520
ГАЗПРОМ ао	W	29.01.2018	0	144	208280760		Распадская	W	29.01.2018	0	101,65	6979460		НЛМК ао	W	29.01.2018	0	146,14	14678600
ГАЗПРОМ ао	W	05.02.2018	0	135,56	214270560		Распадская	W	05.02.2018	0	98,1	23321520		НЛМК ао	W	05.02.2018	0	137,95	25869370
ГАЗПРОМ ао	W	12.02.2018	0	137,06	153794890		Распадская	W	12.02.2018	0	107,93	18054390		НЛМК ао	W	12.02.2018	0	149,24	21766360
ГАЗПРОМ ао	W	19.02.2018	0	145,97	132045940		Распадская	W	19.02.2018	0	112,12	7745090		НЛМК ао	W	19.02.2018	0	148,56	20909930
ГАЗПРОМ ао	W	26.02.2018	0	138,57	172627960		Распадская	W	26.02.2018	0	113,2	18601480		НЛМК ао	W	26.02.2018	0	144,45	18749220
ГАЗПРОМ ао	W	05.03.2018	0	139,81	88006930		Распадская	W	05.03.2018	0	114,89	7268830		НЛМК ао	W	05.03.2018	0	145,55	14719640
ГАЗПРОМ ао	W	12.03.2018	0	141	148403460		Распадская	W	12.03.2018	0	112,44	18768090		НЛМК ао	W	12.03.2018	0	153	30971870
ГАЗПРОМ ао	W	19.03.2018	0	142	133083820		Распадская	W	19.03.2018	0	100,03	34204410		НЛМК ао	W	19.03.2018	0	148,54	20598900
ГАЗПРОМ ао	W	26.03.2018	0	142,33	106555400		Распадская	W	26.03.2018	0	95,56	22405140		НЛМК ао	W	26.03.2018	0	143,5	13100660
ГАЗПРОМ ао	W	02.04.2018	0	141,5	102461700		Распадская	W	02.04.2018	0	92,67	10276100		НЛМК ао	W	02.04.2018	0	150,42	12852450
ГАЗПРОМ ао	W	09.04.2018	0	142,58	284392010		Распадская	W	09.04.2018	0	84,3	27394570		НЛМК ао	W	09.04.2018	0	147,11	28965410
ГАЗПРОМ ао	W	16.04.2018	0	144,4	123221090		Распадская	W	16.04.2018	0	90	13453630		НЛМК ао	W	16.04.2018	0	151,81	17022220
ГАЗПРОМ ао	W	23.04.2018	0	144,3	129612020		Распадская	W	23.04.2018	0	97,49	11871260		НЛМК ао	W	23.04.2018	0	163,45	19944170
ГАЗПРОМ ао	W	30.04.2018	0	143,73	67075820		Распадская	W	30.04.2018	0	96,5	4777140		НЛМК ао	W	30.04.2018	0	153,8	19079250
ГАЗПРОМ ао	W	07.05.2018	0	150,7	96784720		Распадская	W	07.05.2018	0	98,78	9771630		НЛМК ао	W	07.05.2018	0	157,88	19467340
ГАЗПРОМ ао	W	14.05.2018	0	145,65	141465370		Распадская	W	14.05.2018	0	100,08	12682290		НЛМК ао	W	14.05.2018	0	162,5	23463960
ГАЗПРОМ ао	W	21.05.2018	0	145,09	87505120		Распадская	W	21.05.2018	0	98,7	9581520		НЛМК ао	W	21.05.2018	0	162,85	13334450
ГАЗПРОМ ао	W	28.05.2018	0	144	97592380		Распадская	W	28.05.2018	0	97,51	6989680		НЛМК ао	W	28.05.2018	0	162	16487080
ГАЗПРОМ ао	W	04.06.2018	0	144,08	81047780		Распадская	W	04.06.2018	0	103,44	11544550		НЛМК ао	W	04.06.2018	0	171,27	18342960
ГАЗПРОМ ао	W	11.06.2018	0	137,73	103617930		Распадская	W	11.06.2018	0	109,94	8873630		НЛМК ао	W	11.06.2018	0	168,57	11725140
ГАЗПРОМ ао	W	18.06.2018	0	136,76	139233500		Распадская	W	18.06.2018	0	103,49	7331170		НЛМК ао	W	18.06.2018	0	157,74	21977920
ГАЗПРОМ ао	W	25.06.2018	0	141,01	98347320		Распадская	W	25.06.2018	0	102,41	6121670		НЛМК ао	W	25.06.2018	0	151,84	16550150
ГАЗПРОМ ао	W	02.07.2018	0	144,96	83299540		Распадская	W	02.07.2018	0	103,03	5660660		НЛМК ао	W	02.07.2018	0	154,27	15205340
ГАЗПРОМ ао	W	09.07.2018	0	146,87	92662730		Распадская	W	09.07.2018	0	104,8	4899200		НЛМК ао	W	09.07.2018	0	158,02	13360370
ГАЗПРОМ ао	W	16.07.2018	0	136,47	117379240		Распадская	W	16.07.2018	0	101,71	4747460		НЛМК ао	W	16.07.2018	0	159,46	13502020
ГАЗПРОМ ао	W	23.07.2018	0	137,99	65349650		Распадская	W	23.07.2018	0	101,8	7484610		НЛМК ао	W	23.07.2018	0	163,64	9027400
ГАЗПРОМ ао	W	30.07.2018	0	142,39	97547230		Распадская	W	30.07.2018	0	101	3293170		НЛМК ао	W	30.07.2018	0	163,12	10812300
ГАЗПРОМ ао	W	06.08.2018	0	144,8	112706160		Распадская	W	06.08.2018	0	96,89	6442960		НЛМК ао	W	06.08.2018	0	152	13878710
ГАЗПРОМ ао	W	13.08.2018	0	141,01	95532380		Распадская	W	13.08.2018	0	98,85	6025860		НЛМК ао	W	13.08.2018	0	155,16	16434300
ГАЗПРОМ ао	W	20.08.2018	0	143,6	78543470		Распадская	W	20.08.2018	0	100,61	4023470		НЛМК ао	W	20.08.2018	0	159,5	10149230
ГАЗПРОМ ао	W	27.08.2018	0	149,95	101705430		Распадская	W	27.08.2018	0	99,33	2654560		НЛМК ао	W	27.08.2018	0	165,66	12939430
ГАЗПРОМ ао	W	03.09.2018	0	148,8	86321890		Распадская	W	03.09.2018	0	97,49	2445060		НЛМК ао	W	03.09.2018	0	165,94	8553530
ГАЗПРОМ ао	W	10.09.2018	0	152,15	133442700		Распадская	W	10.09.2018	0	102,3	5305090		НЛМК ао	W	10.09.2018	0	170,2	9504760
ГАЗПРОМ ао	W	17.09.2018	0	158,64	204722100		Распадская	W	17.09.2018	0	107,93	8459310		НЛМК ао	W	17.09.2018	0	177,82	17728470
ГАЗПРОМ ао	W	24.09.2018	0	162,61	129465970		Распадская	W	24.09.2018	0	117,9	12284160		НЛМК ао	W	24.09.2018	0	177,9	12311660
ГАЗПРОМ ао	W	01.10.2018	0	170,5	188241380		Распадская	W	01.10.2018	0	124,98	9196100		НЛМК ао	W	01.10.2018	0	178,1	12358860
ГАЗПРОМ ао	W	08.10.2018	0	167	187219510		Распадская	W	08.10.2018	0	122,24	9529070		НЛМК ао	W	08.10.2018	0	168,26	13974110
ГАЗПРОМ ао	W	15.10.2018	0	161,32	117905370		Распадская	W	15.10.2018	0	120,1	7737290		НЛМК ао	W	15.10.2018	0	160,4	13706210
ГАЗПРОМ ао	W	22.10.2018	0	152,5	156065840		Распадская	W	22.10.2018	0	120,67	6378650		НЛМК ао	W	22.10.2018	0	158,72	18409950
ГАЗПРОМ ао	W	29.10.2018	0	153,71	91797470		Распадская	W	29.10.2018	0	120	2541430		НЛМК ао	W	29.10.2018	0	157,94	14184290
ГАЗПРОМ ао	W	05.11.2018	0	153,19	106503540		Распадская	W	05.11.2018	0	119,94	2806800		НЛМК ао	W	05.11.2018	0	161,74	15179750
ГАЗПРОМ ао	W	12.11.2018	0	153,16	128706290		Распадская	W	12.11.2018	0	139,7	11495090		НЛМК ао	W	12.11.2018	0	164,26	12862080
ГАЗПРОМ ао	W	19.11.2018	0	151,79	82241620		Распадская	W	19.11.2018	0	127,5	9563920		НЛМК ао	W	19.11.2018	0	164,86	12989390
ГАЗПРОМ ао	W	26.11.2018	0	161,29	203625230		Распадская	W	26.11.2018	0	125,17	3518880		НЛМК ао	W	26.11.2018	0	158,36	18450550
ГАЗПРОМ ао	W	03.12.2018	0	163	144908710		Распадская	W	03.12.2018	0	128	3116170		НЛМК ао	W	03.12.2018	0	158,36	17784250
ГАЗПРОМ ао	W	10.12.2018	0	155,4	104735410		Распадская	W	10.12.2018	0	125,44	4592930		НЛМК ао	W	10.12.2018	0	151,64	14822160
ГАЗПРОМ ао	W	17.12.2018	0	151,12	120286710		Распадская	W	17.12.2018	0	126	3045980		НЛМК ао	W	17.12.2018	0	151,92	15962700
ГАЗПРОМ ао	W	24.12.2018	0	153,5	65965620		Распадская	W	24.12.2018	0	129	3098420		НЛМК ао	W	24.12.2018	0	157,42	9101360
ГАЗПРОМ ао	W	31.12.2018	0	159,15	28741870		Распадская	W	31.12.2018	0	127,7	370300		НЛМК ао	W	31.12.2018	0	155,68	5814020
ГАЗПРОМ ао	W	07.01.2019	0	161	73748400		Распадская	W	07.01.2019	0	128,36	1026920		НЛМК ао	W	07.01.2019	0	154,5	12089160
ГАЗПРОМ ао	W	14.01.2019	0	159,2	88844930		Распадская	W	14.01.2019	0	130	3494400		НЛМК ао	W	14.01.2019	0	152,14	13205500
ГАЗПРОМ ао	W	21.01.2019	0	162,82	100749960		Распадская	W	21.01.2019	0	136	3999830		НЛМК ао	W	21.01.2019	0	148,82	18067820
ГАЗПРОМ ао	W	28.01.2019	0	163,33	125627210		Распадская	W	28.01.2019	0	137,8	3888600		НЛМК ао	W	28.01.2019	0	157,2	21009820
ГАЗПРОМ ао	W	04.02.2019	0	159,8	77684200		Распадская	W	04.02.2019	0	141,5	4063730		НЛМК ао	W	04.02.2019	0	157,34	16734770
ГАЗПРОМ ао	W	11.02.2019	0	159,04	119078490		Распадская	W	11.02.2019	0	152,22	10647300		НЛМК ао	W	11.02.2019	0	157,24	14036000
ГАЗПРОМ ао	W	18.02.2019	0	154,64	87399240		Распадская	W	18.02.2019	0	152,4	5927010		НЛМК ао	W	18.02.2019	0	158,5	11640510
ГАЗПРОМ ао	W	25.02.2019	0	156,71	109400140		Распадская	W	25.02.2019	0	149,16	11161850		НЛМК ао	W	25.02.2019	0	157,74	10928660
ГАЗПРОМ ао	W	04.03.2019	0	151,9	74135610		Распадская	W	04.03.2019	0	144	12285730		НЛМК ао	W	04.03.2019	0	165,5	19416170
ГАЗПРОМ ао	W	11.03.2019	0	154,56	106851610		Распадская	W	11.03.2019	0	137	4549540		НЛМК ао	W	11.03.2019	0	167,7	17355370
ГАЗПРОМ ао	W	18.03.2019	0	152,29	111067340		Распадская	W	18.03.2019	0	134,8	6437890		НЛМК ао	W	18.03.2019	0	166,7	17654040
ГАЗПРОМ ао	W	25.03.2019	0	149,61	110957540		Распадская	W	25.03.2019	0	131,56	2817020		НЛМК ао	W	25.03.2019	0	170,5	12533190
ГАЗПРОМ ао	W	01.04.2019	0	158,6	147758270		Распадская	W	01.04.2019	0	134,38	4964100		НЛМК ао	W	01.04.2019	0	173,98	11372480
ГАЗПРОМ ао	W	08.04.2019	0	159,12	179263560		Распадская	W	08.04.2019	0	135,1	2396100		НЛМК ао	W	08.04.2019	0	172,34	16390050
ГАЗПРОМ ао	W	15.04.2019	0	162,57	97663470		Распадская	W	15.04.2019	0	139	3146280		НЛМК ао	W	15.04.2019	0	174,3	8722300
ГАЗПРОМ ао	W	22.04.2019	0	161	89206090		Распадская	W	22.04.2019	0	138	1973190		НЛМК ао	W	22.04.2019	0	174,4	14668660
ГАЗПРОМ ао	W	29.04.2019	0	166,31	96456320		Распадская	W	29.04.2019	0	137,16	1017130		НЛМК ао	W	29.04.2019	0	169,5	15499530
ГАЗПРОМ ао	W	06.05.2019	0	163,61	68983040		Распадская	W	06.05.2019	0	135,7	1524090		НЛМК ао	W	06.05.2019	0	162,58	12957990
ГАЗПРОМ ао	W	13.05.2019	0	198,89	484362340		Распадская	W	13.05.2019	0	134,34	2158160		НЛМК ао	W	13.05.2019	0	156,42	14576400
ГАЗПРОМ ао	W	20.05.2019	0	204,5	236745760		Распадская	W	20.05.2019	0	134,06	2241330		НЛМК ао	W	20.05.2019	0	164	17641070
ГАЗПРОМ ао	W	27.05.2019	0	215,1	253202920		Распадская	W	27.05.2019	0	135,8	2210490		НЛМК ао	W	27.05.2019	0	172,32	18979650
ГАЗПРОМ ао	W	03.06.2019	0	230,5	466025800		Распадская	W	03.06.2019	0	137,28	2168900		НЛМК ао	W	03.06.2019	0	172,52	12011450
ГАЗПРОМ ао	W	10.06.2019	0	231,51	136324420		Распадская	W	10.06.2019	0	135,82	2007000		НЛМК ао	W	10.06.2019	0	183,2	16414600
ГАЗПРОМ ао	W	17.06.2019	0	229,09	188409560		Распадская	W	17.06.2019	0	139	4512430		НЛМК ао	W	17.06.2019	0	171,7	30260040
ГАЗПРОМ ао	W	24.06.2019	0	232,83	127599560		Распадская	W	24.06.2019	0	139,5	1770860		НЛМК ао	W	24.06.2019	0	159,7	46089740
ГАЗПРОМ ао	W	01.07.2019	0	250,89	235905210		Распадская	W	01.07.2019	0	139,5	1601900		НЛМК ао	W	01.07.2019	0	156,82	35396420
ГАЗПРОМ ао	W	08.07.2019	0	245,5	169510860		Распадская	W	08.07.2019	0	137,54	1798150		НЛМК ао	W	08.07.2019	0	151,92	33972450
ГАЗПРОМ ао	W	15.07.2019	0	216	177193550		Распадская	W	15.07.2019	0	139,04	1208210		НЛМК ао	W	15.07.2019	0	155,54	27300340
ГАЗПРОМ ао	W	22.07.2019	0	234,23	462863550		Распадская	W	22.07.2019	0	137,36	1279770		НЛМК ао	W	22.07.2019	0	151,8	16039440
ГАЗПРОМ ао	W	29.07.2019	0	227,91	230561880		Распадская	W	29.07.2019	0	130,76	2352390		НЛМК ао	W	29.07.2019	0	147,22	27171000
ГАЗПРОМ ао	W	05.08.2019	0	229,96	181750860		Распадская	W	05.08.2019	0	127,5	1642180		НЛМК ао	W	05.08.2019	0	142,46	21052470
ГАЗПРОМ ао	W	12.08.2019	0	224,71	144386150		Распадская	W	12.08.2019	0	127,88	1888470		НЛМК ао	W	12.08.2019	0	138,3	24912860
ГАЗПРОМ ао	W	19.08.2019	0	229,35	129778540		Распадская	W	19.08.2019	0	130,46	3149380		НЛМК ао	W	19.08.2019	0	142,4	20404310
ГАЗПРОМ ао	W	26.08.2019	0	232,15	169144530		Распадская	W	26.08.2019	0	125,76	6889760		НЛМК ао	W	26.08.2019	0	148,84	23937570
ГАЗПРОМ ао	W	02.09.2019	0	234,49	122285150		Распадская	W	02.09.2019	0	127,58	5171660		НЛМК ао	W	02.09.2019	0	146,66	25992560
ГАЗПРОМ ао	W	09.09.2019	0	232,5	114796890		Распадская	W	09.09.2019	0	127,64	2440090		НЛМК ао	W	09.09.2019	0	148,46	23676620
ГАЗПРОМ ао	W	16.09.2019	0	230,41	136065660		Распадская	W	16.09.2019	0	123,98	1916860		НЛМК ао	W	16.09.2019	0	144,7	35232540
ГАЗПРОМ ао	W	23.09.2019	0	229,01	115291730		Распадская	W	23.09.2019	0	121,5	974210		НЛМК ао	W	23.09.2019	0	141,98	22139250
ГАЗПРОМ ао	W	30.09.2019	0	221,66	127116720		Распадская	W	30.09.2019	0	115,02	2468960		НЛМК ао	W	30.09.2019	0	131,88	39568710
ГАЗПРОМ ао	W	07.10.2019	0	227,37	92626540		Распадская	W	07.10.2019	0	117,46	2751690		НЛМК ао	W	07.10.2019	0	130,04	32156630
ГАЗПРОМ ао	W	14.10.2019	0	228	88637330		Распадская	W	14.10.2019	0	114,6	1870370		НЛМК ао	W	14.10.2019	0	128,8	30510320
ГАЗПРОМ ао	W	21.10.2019	0	246,71	188447810		Распадская	W	21.10.2019	0	113,52	1869910		НЛМК ао	W	21.10.2019	0	123,42	34666900
ГАЗПРОМ ао	W	28.10.2019	0	263,79	344314050		Распадская	W	28.10.2019	0	106,38	3824020		НЛМК ао	W	28.10.2019	0	126,14	31926500
ГАЗПРОМ ао	W	04.11.2019	0	266	164180970		Распадская	W	04.11.2019	0	107,38	2174380		НЛМК ао	W	04.11.2019	0	131,04	30596780
ГАЗПРОМ ао	W	11.11.2019	0	248,01	409151500		Распадская	W	11.11.2019	0	101,8	3638810		НЛМК ао	W	11.11.2019	0	126,64	25417960
ГАЗПРОМ ао	W	18.11.2019	0	251,99	633616780		Распадская	W	18.11.2019	0	104,12	3653590		НЛМК ао	W	18.11.2019	0	127,82	22383190
ГАЗПРОМ ао	W	25.11.2019	0	257,54	238665410		Распадская	W	25.11.2019	0	102,48	5441760		НЛМК ао	W	25.11.2019	0	129,42	28666750
ГАЗПРОМ ао	W	02.12.2019	0	247,83	311550150		Распадская	W	02.12.2019	0	101,94	2277690		НЛМК ао	W	02.12.2019	0	133	42730480
ГАЗПРОМ ао	W	09.12.2019	0	249,5	218995520		Распадская	W	09.12.2019	0	102	5808220		НЛМК ао	W	09.12.2019	0	137,9	36861300
ГАЗПРОМ ао	W	16.12.2019	0	255,5	188163560		Распадская	W	16.12.2019	0	106,5	9251000		НЛМК ао	W	16.12.2019	0	142,46	38450650
ГАЗПРОМ ао	W	23.12.2019	0	257,11	108528450		Распадская	W	23.12.2019	0	107,44	4223570		НЛМК ао	W	23.12.2019	0	143,42	12766160
ГАЗПРОМ ао	W	30.12.2019	0	259	57982740		Распадская	W	30.12.2019	0	107,7	1075540		НЛМК ао	W	30.12.2019	0	144,5	8176110
ГАЗПРОМ ао	W	06.01.2020	0	251,9	115551470		Распадская	W	06.01.2020	0	113,72	19695280		НЛМК ао	W	06.01.2020	0	143,62	35491790
ГАЗПРОМ ао	W	13.01.2020	0	255,39	198867470		Распадская	W	13.01.2020	0	114,3	7717720		НЛМК ао	W	13.01.2020	0	150,2	36960140
ГАЗПРОМ ао	W	20.01.2020	0	237,95	238814850		Распадская	W	20.01.2020	0	107,1	9823750		НЛМК ао	W	20.01.2020	0	145	29124970
ГАЗПРОМ ао	W	27.01.2020	0	226,7	355510540		Распадская	W	27.01.2020	0	104,52	9708270		НЛМК ао	W	27.01.2020	0	138	27805070
ГАЗПРОМ ао	W	03.02.2020	0	229,11	254241130		Распадская	W	03.02.2020	0	108,32	5046360		НЛМК ао	W	03.02.2020	0	139,98	34532840
ГАЗПРОМ ао	W	10.02.2020	0	233,55	271725150		Распадская	W	10.02.2020	0	110,26	5419810		НЛМК ао	W	10.02.2020	0	139,14	33342100
